src,dst
2299,2695
2299,2696
2302,2697
2304,2698
2306,2699
2308,2700
2308,2701
2310,2702
2312,2703
2314,2704
2323,2705
2324,2707
2324,2708
2325,2709
2325,2710
2325,2711
2331,2714
2335,2715
2335,2716
2336,2717
2336,2718
2337,2719
2337,2720
2340,2724
2344,2725
2345,2726
2345,2727
2347,2728
2347,2729
2353,2731
2354,2732
2358,2734
2362,2736
2362,2737
2363,2738
2363,2739
2364,2740
2365,2741
2365,2742
2366,2743
2367,2744
2368,2745
2368,2746
2377,2748
2378,2749
2382,2750
2386,2755
2390,2760
2394,2765
2402,2770
2402,2771
2403,2772
2409,2773
2410,2774
2411,2775
2420,2778
2420,2779
2429,2785
2431,2786
2437,2790
2450,2798
2464,2806
2466,2807
2488,2819
2489,2820
2490,2821
2490,2822
2491,2823
2504,2827
2504,2828
2506,2831
2531,2832
2531,2833
2539,2834
2539,2835
2541,2836
2541,2837
2541,2838
2541,2839
2541,2840
2547,2841
2547,2842
2547,2843
2549,2844
2549,2845
2549,2846
2551,2847
2551,2848
2551,2849
2553,2850
2553,2851
2553,2852
2555,2853
2555,2854
2555,2855
2557,2856
2557,2857
2557,2858
2559,2859
2559,2860
2559,2861
2561,2862
2561,2863
2561,2864
2563,2865
2563,2866
2563,2867
2565,2868
2565,2869
2565,2870
2567,2871
2575,2876
2575,2877
2575,2878
2575,2879
2575,2880
2578,2881
2578,2882
2587,2883
2588,2884
2590,2885
2590,2886
2592,2887
2592,2888
2597,2890
2597,2891
2600,2892
2600,2893
2605,2898
2605,2899
2606,2900
2606,2901
2607,2902
2608,2903
2608,2904
2609,2905
2610,2907
2610,2908
2617,2909
2617,2910
2622,2911
2622,2912
2623,2913
2623,2914
2625,2915
2626,2916
2637,2917
2638,2918
2639,2919
2639,2920
2640,2921
2642,2922
2643,2923
2648,2925
2648,2926
2656,2927
2657,2929
2661,2932
2664,2933
2664,2934
2664,2935
2665,2936
2667,2937
2667,2938
2668,2939
2668,2940
2669,2941
2669,2942
2670,2943
2670,2944
2671,2945
2671,2946
2681,2947
2681,2948
2684,2949
2685,2950
2686,2951
2687,2954
2687,2955
2688,2956
2688,2957
2689,2958
2690,2959
2692,2960
2693,2961
2694,2962
2695,2963
2700,2964
2701,2965
2703,2966
2703,2967
2704,2968
2706,2969
2707,2970
2708,2971
2708,2972
2711,2973
2715,2974
2730,2975
2730,2976
2733,2981
2747,2983
2768,2985
2768,2986
2769,2987
2769,2988
2776,2993
2776,2994
2777,2995
2777,2996
2780,2997
2782,2998
2787,2999
2787,3000
2788,3001
2788,3002
2789,3003
2789,3004
2789,3005
2792,3006
2792,3007
2799,3008
2799,3009
2800,3010
2800,3011
2801,3012
2801,3013
2811,3020
2812,3021
2824,3031
2825,3032
2826,3033
2828,3034
2828,3035
2828,3036
2829,3037
2830,3038
2834,3039
2872,3040
2872,3041
2875,3042
2875,3043
2882,3044
2882,3045
2890,3052
2890,3053
2892,3054
2899,3055
2902,3057
2905,3058
2905,3059
2912,3060
2912,3061
2914,3062
2914,3063
2921,3068
2923,3072
2926,3082
2926,3083
2927,3089
2927,3090
2934,3093
2935,3095
2938,3099
2952,3104
2955,3105
2955,3106
2957,3107
2957,3108
2966,3110
2966,3111
2967,3113
2968,3116
2970,3119
2973,3122
2974,3123
2988,3128
2988,3129
2993,3144
3004,3150
3025,3154
3045,3155
3047,3157
3049,3160
3049,3161
3050,3162
3050,3163
3051,3164
3052,3165
3052,3166
3052,3167
3052,3168
3054,3169
3055,3172
3055,3173
3056,3174
3056,3175
3057,3176
3058,3178
3059,3179
3064,3180
3064,3181
3065,3182
3066,3183
3077,3193
3077,3194
3084,3195
3085,3196
3085,3197
3091,3200
3091,3201
3092,3202
3092,3203
3094,3205
3095,3206
3096,3209
3098,3210
3098,3211
3099,3212
3099,3213
3100,3216
3100,3217
3101,3218
3101,3219
3102,3220
3102,3221
3105,3225
3105,3226
3107,3227
3107,3228
3109,3229
3110,3230
3112,3231
3114,3233
3114,3234
3115,3235
3118,3237
3118,3238
3119,3240
3120,3241
3120,3242
3121,3243
3121,3244
3122,3245
3123,3248
3123,3249
3126,3252
3126,3253
3127,3254
3130,3255
3134,3257
3135,3258
3138,3259
3139,3260
3142,3261
3142,3262
3143,3263
3145,3264
3145,3265
3145,3266
3151,3269
3151,3270
3173,3272
3173,3273
3176,3274
3178,3276
3180,3280
3197,3285
3197,3286
3198,3288
3199,3289
3201,3290
3213,3295
3213,3296
3217,3297
3219,3298
3230,3301
3230,3302
3240,3305
3240,3306
3246,3310
3246,3311
3247,3312
3249,3313
3265,3318
3271,3320
3271,3321
3273,3322
3273,3323
3275,3326
3275,3327
3277,3329
3277,3330
3281,3331
3281,3332
3282,3333
3283,3334
3287,3336
3291,3337
3294,3338
3294,3339
3300,3340
3300,3341
3303,3342
3304,3343
3304,3344
3306,3345
3307,3346
3311,3347
3317,3349
3319,3350
3319,3351
3335,3359
3343,3367
3348,3371
3352,3373
3352,3374
3353,3375
3353,3376
3354,3377
3354,3378
3357,3381
3362,3383
3362,3384
3363,3385
3363,3386
3363,3387
3364,3388
3365,3389
3365,3390
3366,3391
3366,3392
3368,3393
3368,3394
3372,3395
3372,3396
3373,3397
3373,3398
3382,3403
3386,3404
3401,3410
3404,3411
3405,3412
3411,3413
3411,3414
3413,3418
3415,3419
3415,3420
3415,3421
3416,3422
3416,3423
3418,3425
3418,3426
3420,3427
3424,3428
3424,3429
3430,3432
3430,3433
3431,3434
3436,3437
3436,3438
3437,3439
3437,3440
3438,3441
3438,3442
3440,3443
3445,3446
3445,3447
3446,3448
3446,3449
3446,3450
3447,3451
3452,3453
